"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x994728789098815489",2018-05-10 23:59:59,"x150320373","Kingbarsjm","Seu único crime foi matar a sede de 500 milhões de brasileiros https://t.co/W75WP3iT95","Facebook",,,,FALSE,FALSE,0,0,,,"br.yahoo.com/financas/notic…","https://t.co/W75WP3iT95","https://br.yahoo.com/financas/noticias/dono-da-dolly-chega-em-delegacia-com-cartaz-preso-pela-coca-cola-155225397.html",,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994728758471884800",2018-05-10 23:59:51,"x303862915","leosantos1017","Agora o pobre também pode tomar refrigerante!
Chora coxinha! Dolly livre! https://t.co/BFKkeeGsYJ","Facebook",,,,FALSE,FALSE,0,0,,,"facebook.com/CartaoBolsaFam…","https://t.co/BFKkeeGsYJ","https://www.facebook.com/CartaoBolsaFamilia/posts/1689978881109687",,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994728652389670912",2018-05-10 23:59:26,"x2788464524","Dolly_Santorini","@nanda_giac @Tio_william ninguém quer...","Twitter for Android","x994727557466648583","x3046693269","nanda_giac",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3046693269 200363304","nanda_giac Tio_william","pt",,,,,,,,,,,,,
"x994728648501547013",2018-05-10 23:59:25,"x971074375712722944","AnaR_CRVG","Dolly vale a lutar 
Terá Resistência
Seu crime foi tirar a sede de 200 milhões de brasileiros
#DollyLivre https://t.co/Q3uI0Tj7Cw","Twitter Web Client",,,,FALSE,FALSE,1,0,"DollyLivre",,,,,"http://pbs.twimg.com/media/Dc38Zi9XkAMLSXM.jpg","https://t.co/Q3uI0Tj7Cw","https://twitter.com/AnaR_CRVG/status/994728648501547013/photo/1","photo","http://pbs.twimg.com/media/Dc38Zi9XkAMLSXM.jpg","https://t.co/Q3uI0Tj7Cw","https://twitter.com/AnaR_CRVG/status/994728648501547013/photo/1",,,,"pt",,,,,,,,,,,,,
"x994728622895386624",2018-05-10 23:59:19,"x2788464524","Dolly_Santorini","@nanda_giac @Tio_william pior não é","Twitter for Android","x994727453464715264","x3046693269","nanda_giac",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3046693269 200363304","nanda_giac Tio_william","pt",,,,,,,,,,,,,
"x994728588955054081",2018-05-10 23:59:11,"x960692206968492032","Trajaboladao3","-Não e so Coca Cola  Dolly tbm mata a cede .","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,"https://api.twitter.com/1.1/geo/id/97bcdfca1a2dca59.json","Rio de Janeiro","Rio de Janeiro, Brazil","city","Brazil","BR",,,"-43.795449 -43.0877068 -43.0877068 -43.795449 -23.08302 -23.08302 -22.7398234 -22.7398234"
"x994728514992660481",2018-05-10 23:58:53,"x4002107841","rodrigovcortes","Dolly Marielle #QuintaDetremuraSDV #BackToYouTODAY Mães Romero Jean Lucas #CopaDoBrasilFOXSports #CleoNoTVZ Geuvânio #AtardeESua #Brooklyn99
#WeLoveAprilKepner #CleoNoTVZ #TBTNoMTVHITS Geisel Rick and Morty VAMOS CORINTHIANS Urgh Taci #PSOL Marilene Cahuí Karl Marx Edir Macedo G1 https://t.co/AkB3bQJXdN","Twitter Web Client",,,,TRUE,FALSE,0,0,"QuintaDetremuraSDV BackToYouTODAY CopaDoBrasilFOXSports CleoNoTVZ AtardeESua Brooklyn99 WeLoveAprilKepner CleoNoTVZ TBTNoMTVHITS PSOL",,"twitter.com/rodrigovcortes…","https://t.co/AkB3bQJXdN","https://twitter.com/rodrigovcortes/status/994375715557658624",,,,,,,,,,,"pt","x994375715557658624","#SerialKillers #Psychopaths BRASIL DA VIGARICE <f0><U+009F><U+0092><U+00B0>BOULOS GANHA TODAS. Nova liderança Lulista: Invade propriedade alheia. Explora miseráveis Comanda Milícia Recebe ajuda dos Governos em qualquer situação Nada acontece. Não existe Polícia MP. Candidatura decola no PSOL céu anil https://t.co/8teWI9wpCb",,,,,,,,,,,
"x994728514418077698",2018-05-10 23:58:53,"x3196413933","edsonyj","@adrianohidalgo E já iniciou os protestos, dia das mães sem dolly é gópi...kkk https://t.co/ZWjuFL5wv0","Twitter Lite","x994708149251854336","x16521977","adrianohidalgo",FALSE,FALSE,0,0,,,,,,"http://pbs.twimg.com/media/Dc38TkoX0AASgpv.jpg","https://t.co/ZWjuFL5wv0","https://twitter.com/edsonyj/status/994728514418077698/photo/1","photo","http://pbs.twimg.com/media/Dc38TkoX0AASgpv.jpg","https://t.co/ZWjuFL5wv0","https://twitter.com/edsonyj/status/994728514418077698/photo/1",,"x16521977","adrianohidalgo","pt",,,,,,,,,,,,,
"x994728401679339520",2018-05-10 23:58:26,"x390385836","sabrinanaquino","Dolly Refrigerantes manejou um esquema de fraudes q chegaria a 4 bilhões, driblando a receita em 4bi pra deixar de pagar impostos! E depois tem gente q crê que disputar o discurso sobre corrupção pela esquerda, não deixando pra direita meter qqr consigna em cima, é pura bobagem.","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994728301070635008",2018-05-10 23:58:02,"x2744590990","hwanlia","@imHaruyuki nem o dolly quer ser meu amigo, eu bebo ele e só me dá dor de barriga
cruzes amigo assim a gnt prefere ficar sozinha","Twitter for iPhone","x994727579176271872","x561576979","imHaruyuki",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x561576979","imHaruyuki","pt",,,,,,,,,,,,,
